time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-06 00:00:00+00:00,1084,184,911,102
2022-12-07 00:00:00+00:00,1663,236,944,107
2022-12-08 00:00:00+00:00,1196,212,733,83
2022-12-09 00:00:00+00:00,1167,159,748,103
2022-12-10 00:00:00+00:00,308,115,286,54
2022-12-11 00:00:00+00:00,482,145,308,50
2022-12-12 00:00:00+00:00,774,177,588,84
2022-12-13 00:00:00+00:00,1173,165,1320,118
2022-12-14 00:00:00+00:00,583,168,733,81
2022-12-15 00:00:00+00:00,992,184,708,94
2022-12-16 00:00:00+00:00,1206,209,780,75
2022-12-17 00:00:00+00:00,631,165,350,42
2022-12-18 00:00:00+00:00,561,181,318,51
2022-12-19 00:00:00+00:00,875,230,598,79
