time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-28 00:00:00+00:00,1426,198,909,100
2022-11-29 00:00:00+00:00,1137,177,1091,124
2022-11-30 00:00:00+00:00,1023,198,783,112
2022-12-01 00:00:00+00:00,1193,172,681,103
2022-12-02 00:00:00+00:00,986,175,645,86
2022-12-03 00:00:00+00:00,526,134,315,60
2022-12-04 00:00:00+00:00,392,126,320,70
2022-12-05 00:00:00+00:00,1564,197,1173,107
2022-12-06 00:00:00+00:00,1084,184,911,102
2022-12-07 00:00:00+00:00,1663,236,944,107
2022-12-08 00:00:00+00:00,1196,212,733,83
2022-12-09 00:00:00+00:00,1167,159,748,103
2022-12-10 00:00:00+00:00,308,115,286,54
2022-12-11 00:00:00+00:00,456,141,305,49
